50,50,16
36,4,0,3.326
37,4,0,4.454
38,4,0,-0.294
39,4,0,1.412
40,4,0,2.726
41,4,0,3.662
42,4,0,4.240
43,4,0,3.980
44,4,0,2.054
45,4,0,nan
46,4,0,nan
47,4,0,nan
48,4,0,nan
49,4,0,nan
0,5,0,nan
1,5,0,nan
2,5,0,nan
3,5,0,nan
4,5,0,2.312
5,5,0,-0.717
6,5,0,4.697
7,5,0,4.847
8,5,0,4.835
9,5,0,4.696
10,5,0,4.324
11,5,0,3.539
12,5,0,2.181
13,5,0,0.117
14,5,0,nan
15,5,0,nan
16,5,0,nan
17,5,0,nan
18,5,0,nan
19,5,0,nan
20,5,0,nan
21,5,0,-0.475
22,5,0,0.712
23,5,0,1.361
24,5,0,1.526
25,5,0,1.081
26,5,0,-0.467
27,5,0,nan
28,5,0,nan
29,5,0,nan
30,5,0,nan
31,5,0,nan
32,5,0,nan
33,5,0,nan
34,5,0,nan
35,5,0,0.799
36,5,0,2.023
37,5,0,2.276
38,5,0,2.789
39,5,0,3.405
40,5,0,3.964
41,5,0,4.370
42,5,0,4.581
43,5,0,3.781
44,5,0,1.606
45,5,0,nan
46,5,0,nan
47,5,0,nan
48,5,0,nan
49,5,0,nan
0,6,0,nan
1,6,0,nan
2,6,0,nan
3,6,0,-1.026
4,6,0,-0.037
5,6,0,4.325
6,6,0,4.774
7,6,0,4.870
8,6,0,4.829
9,6,0,4.629
10,6,0,4.083
11,6,0,0.163
12,6,0,0.611
13,6,0,nan
14,6,0,nan
15,6,0,nan
16,6,0,nan
17,6,0,nan
18,6,0,nan
19,6,0,nan
20,6,0,nan
21,6,0,nan
22,6,0,nan
23,6,0,nan
24,6,0,nan
25,6,0,nan
26,6,0,nan
27,6,0,nan
28,6,0,nan
29,6,0,nan
30,6,0,nan
31,6,0,nan
32,6,0,nan
33,6,0,nan
34,6,0,nan
35,6,0,1.068
36,6,0,3.709
37,6,0,3.954
38,6,0,4.112
39,6,0,4.331
40,6,0,4.537
41,6,0,4.684
42,6,0,4.526
43,6,0,3.637
44,6,0,1.289
45,6,0,nan
46,6,0,nan
47,6,0,nan
48,6,0,nan
49,6,0,nan
0,7,0,nan
1,7,0,nan
2,7,0,nan
3,7,0,0.329
4,7,0,3.349
5,7,0,4.492
6,7,0,4.825
7,7,0,4.883
8,7,0,4.818
9,7,0,4.561
10,7,0,0.993
11,7,0,2.256
12,7,0,-1.399
13,7,0,nan
14,7,0,nan
15,7,0,nan
16,7,0,nan
17,7,0,nan
18,7,0,nan
19,7,0,nan
20,7,0,nan
21,7,0,nan
22,7,0,nan
23,7,0,nan
24,7,0,nan
25,7,0,nan
26,7,0,nan
27,7,0,nan
28,7,0,nan
29,7,0,nan
30,7,0,nan
31,7,0,nan
32,7,0,nan
33,7,0,nan
34,7,0,nan
35,7,0,1.038
36,7,0,3.709
37,7,0,4.601
38,7,0,4.631
39,7,0,4.692
40,7,0,4.754
41,7,0,4.792
42,7,0,4.509
43,7,0,3.598
44,7,0,1.226
45,7,0,nan
46,7,0,nan
47,7,0,nan
48,7,0,nan
49,7,0,nan
0,8,0,nan
1,8,0,nan
2,8,0,nan
3,8,0,1.163
4,8,0,3.676
5,8,0,4.605
6,8,0,4.857
7,8,0,4.890
