0,11,11, raw_val: 314.789714462, x^2: -0.858831435008, z: 3, k: 11
0,11,12, raw_val: 314.789714462, x^2: -0.858831435008, z: 4, k: 12
0,11,13, raw_val: 314.789714462, x^2: -0.858831435008, z: 5, k: 13
0,11,14, raw_val: 314.789714462, x^2: -0.858831435008, z: 6, k: 14
0,11,15, raw_val: 314.789714462, x^2: -0.858831435008, z: 7, k: 15
0,12,0, raw_val: 323.689908289, x^2: -1.09159041959, z: -8, k: 0
0,12,1, raw_val: 323.689908289, x^2: -1.09159041959, z: -7, k: 1
0,12,2, raw_val: 323.689908289, x^2: -1.09159041959, z: -6, k: 2
0,12,3, raw_val: 323.689908289, x^2: -1.09159041959, z: -5, k: 3
0,12,4, raw_val: 323.689908289, x^2: -1.09159041959, z: -4, k: 4
0,12,5, raw_val: 323.689908289, x^2: -1.09159041959, z: -3, k: 5
0,12,6, raw_val: 323.689908289, x^2: -1.09159041959, z: -2, k: 6
0,12,7, raw_val: 323.689908289, x^2: -1.09159041959, z: -1, k: 7
0,12,8, raw_val: 323.689908289, x^2: -1.09159041959, z: 0, k: 8
0,12,9, raw_val: 323.689908289, x^2: -1.09159041959, z: 1, k: 9
0,12,10, raw_val: 323.689908289, x^2: -1.09159041959, z: 2, k: 10
0,12,11, raw_val: 323.689908289, x^2: -1.09159041959, z: 3, k: 11
0,12,12, raw_val: 323.689908289, x^2: -1.09159041959, z: 4, k: 12
0,12,13, raw_val: 323.689908289, x^2: -1.09159041959, z: 5, k: 13
0,12,14, raw_val: 323.689908289, x^2: -1.09159041959, z: 6, k: 14
0,12,15, raw_val: 323.689908289, x^2: -1.09159041959, z: 7, k: 15
0,13,0, raw_val: 341.537236862, x^2: -1.57788914333, z: -8, k: 0
0,13,1, raw_val: 341.537236862, x^2: -1.57788914333, z: -7, k: 1
0,13,2, raw_val: 341.537236862, x^2: -1.57788914333, z: -6, k: 2
0,13,3, raw_val: 341.537236862, x^2: -1.57788914333, z: -5, k: 3
0,13,4, raw_val: 341.537236862, x^2: -1.57788914333, z: -4, k: 4
0,13,5, raw_val: 341.537236862, x^2: -1.57788914333, z: -3, k: 5
0,13,6, raw_val: 341.537236862, x^2: -1.57788914333, z: -2, k: 6
0,13,7, raw_val: 341.537236862, x^2: -1.57788914333, z: -1, k: 7
0,13,8, raw_val: 341.537236862, x^2: -1.57788914333, z: 0, k: 8
0,13,9, raw_val: 341.537236862, x^2: -1.57788914333, z: 1, k: 9
0,13,10, raw_val: 341.537236862, x^2: -1.57788914333, z: 2, k: 10
0,13,11, raw_val: 341.537236862, x^2: -1.57788914333, z: 3, k: 11
0,13,12, raw_val: 341.537236862, x^2: -1.57788914333, z: 4, k: 12
0,13,13, raw_val: 341.537236862, x^2: -1.57788914333, z: 5, k: 13
0,13,14, raw_val: 341.537236862, x^2: -1.57788914333, z: 6, k: 14
0,13,15, raw_val: 341.537236862, x^2: -1.57788914333, z: 7, k: 15
0,14,0, raw_val: 366.421791539, x^2: -2.29949150474, z: -8, k: 0
0,14,1, raw_val: 366.421791539, x^2: -2.29949150474, z: -7, k: 1
0,14,2, raw_val: 366.421791539, x^2: -2.29949150474, z: -6, k: 2
0,14,3, raw_val: 366.421791539, x^2: -2.29949150474, z: -5, k: 3
0,14,4, raw_val: 366.421791539, x^2: -2.29949150474, z: -4, k: 4
0,14,5, raw_val: 366.421791539, x^2: -2.29949150474, z: -3, k: 5
0,14,6, raw_val: 366.421791539, x^2: -2.29949150474, z: -2, k: 6
0,14,7, raw_val: 366.421791539, x^2: -2.29949150474, z: -1, k: 7
0,14,8, raw_val: 366.421791539, x^2: -2.29949150474, z: 0, k: 8
0,14,9, raw_val: 366.421791539, x^2: -2.29949150474, z: 1, k: 9
0,14,10, raw_val: 366.421791539, x^2: -2.29949150474, z: 2, k: 10
0,14,11, raw_val: 366.421791539, x^2: -2.29949150474, z: 3, k: 11
0,14,12, raw_val: 366.421791539, x^2: -2.29949150474, z: 4, k: 12
0,14,13, raw_val: 366.421791539, x^2: -2.29949150474, z: 5, k: 13
0,14,14, raw_val: 366.421791539, x^2: -2.29949150474, z: 6, k: 14
0,14,15, raw_val: 366.421791539, x^2: -2.29949150474, z: 7, k: 15
0,15,0, raw_val: 394.960892347, x^2: -3.18951860156, z: -8, k: 0
0,15,1, raw_val: 394.960892347, x^2: -3.18951860156, z: -7, k: 1
0,15,2, raw_val: 394.960892347, x^2: -3.18951860156, z: -6, k: 2
0,15,3, raw_val: 394.960892347, x^2: -3.18951860156, z: -5, k: 3
0,15,4, raw_val: 394.960892347, x^2: -3.18951860156, z: -4, k: 4
0,15,5, raw_val: 394.960892347, x^2: -3.18951860156, z: -3, k: 5
0,15,6, raw_val: 394.960892347, x^2: -3.18951860156, z: -2, k: 6
0,15,7, raw_val: 394.960892347, x^2: -3.18951860156, z: -1, k: 7
0,15,8, raw_val: 394.960892347, x^2: -3.18951860156, z: 0, k: 8
0,15,9, raw_val: 394.960892347, x^2: -3.18951860156, z: 1, k: 9
0,15,10, raw_val: 394.960892347, x^2: -3.18951860156, z: 2, k: 10
0,15,11, raw_val: 394.960892347, x^2: -3.18951860156, z: 3, k: 11
0,15,12, raw_val: 394.960892347, x^2: -3.18951860156, z: 4, k: 12
0,15,13, raw_val: 394.960892347, x^2: -3.18951860156, z: 5, k: 13
0,15,14, raw_val: 394.960892347, x^2: -3.18951860156, z: 6, k: 14
0,15,15, raw_val: 394.960892347, x^2: -3.18951860156, z: 7, k: 15
0,16,0, raw_val: 422.991466532, x^2: -4.12863613989, z: -8, k: 0
0,16,1, raw_val: 422.991466532, x^2: -4.12863613989, z: -7, k: 1
0,16,2, raw_val: 422.991466532, x^2: -4.12863613989, z: -6, k: 2
0,16,3, raw_val: 422.991466532, x^2: -4.12863613989, z: -5, k: 3
0,16,4, raw_val: 422.991466532, x^2: -4.12863613989, z: -4, k: 4
0,16,5, raw_val: 422.991466532, x^2: -4.12863613989, z: -3, k: 5
0,16,6, raw_val: 422.991466532, x^2: -4.12863613989, z: -2, k: 6
0,16,7, raw_val: 422.991466532, x^2: -4.12863613989, z: -1, k: 7
0,16,8, raw_val: 422.991466532, x^2: -4.12863613989, z: 0, k: 8
0,16,9, raw_val: 422.991466532, x^2: -4.12863613989, z: 1, k: 9
0,16,10, raw_val: 422.991466532, x^2: -4.12863613989, z: 2, k: 10
0,16,11, raw_val: 422.991466532, x^2: -4.12863613989, z: 3, k: 11
0,16,12, raw_val: 422.991466532, x^2: -4.12863613989, z: 4, k: 12
0,16,13, raw_val: 422.991466532, x^2: -4.12863613989, z: 5, k: 13
0,16,14, raw_val: 422.991466532, x^2: -4.12863613989, z: 6, k: 14
0,16,15, raw_val: 422.991466532, x^2: -4.12863613989, z: 7, k: 15
0,17,0, raw_val: 446.256559504, x^2: -4.95697579626, z: -8, k: 0
0,17,1, raw_val: 446.256559504, x^2: -4.95697579626, z: -7, k: 1
0,17,2, raw_val: 446.256559504, x^2: -4.95697579626, z: -6, k: 2
0,17,3, raw_val: 446.256559504, x^2: -4.95697579626, z: -5, k: 3
0,17,4, raw_val: 446.256559504, x^2: -4.95697579626, z: -4, k: 4
0,17,5, raw_val: 446.256559504, x^2: -4.95697579626, z: -3, k: 5
0,17,6, raw_val: 446.256559504, x^2: -4.95697579626, z: -2, k: 6
